track_id,track_name,track_artist,popular,release_year,release_month,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
697MjF1454XKvZmTuqkWmD,I Miss You,Jeriqo,0,2019,2,edm,0.52,0.789,0,-7.717,1,0.0432,0.00491,1.34e-05,0.0816,0.415,174.026,216347
3x2bXiU0o4WbsPkawXlfDA,Who Are You,The Who,0,1978,8,rock,0.651,0.661,9,-11.405,1,0.0511,0.265,0.00313,0.106,0.489,156.371,378707
0jEaPBjFAWjQTMVouRwaHi,Happy,The Beef Seeds,0,2015,1,r&b,0.64,0.758,10,-5.204,1,0.16,0.665,0,0.127,0.932,86.529,218044
5EKUb1FKsyYVaSXb41YBIj,ONE,Rev Theory,0,2020,1,rock,0.398,0.966,4,-2.352,0,0.0453,5.74e-06,0,0.303,0.52,90.016,208196
300DUx4tdtCdGEUXR032jA,Palace/Curse,The Internet,0,2015,6,r&b,0.447,0.625,10,-8.212,0,0.323,0.0351,0.000727,0.243,0.261,67.104,440013
1itdjHXFxPQUje5AsI5e9P,Hände hoch,Baba Saad,0,2017,11,rap,0.609,0.613,1,-6.662,1,0.384,0.145,0,0.383,0.498,91.113,154768
3HFdPsHeAtmIrCz5fOYnp4,I'll Be Around - Remastered Version,The Spinners,0,2007,4,rock,0.833,0.806,4,-7.439,1,0.0463,0.271,1.23e-06,0.159,0.841,112.23,191787
4xvTPuwHaXoDM3p0QcY7bH,Música,DJ Luian,1,2019,12,latin,0.788,0.82,1,-4.346,0,0.169,0.22,0.000203,0.0799,0.854,177.927,223815
0CVX3h1ogdgdnG9QdJGIyQ,Trippie Redd,Coqeéin Montana,0,2019,11,rap,0.839,0.789,9,-4.645,1,0.17,0.157,9.19e-06,0.106,0.629,149.946,259200
4thnq3xsCY2KdVGWxM6y38,Close Enough to Hurt,Rod Wave,0,2019,10,r&b,0.803,0.515,6,-8.758,0,0.127,0.286,0,0.115,0.2,78.021,135419
7AA4lNDVhoyucOqhBO56XU,"Aczino: Bzrp Freestyle Sessions, Vol. 8",Bizarrap,1,2019,12,rap,0.611,0.84,7,-4.886,1,0.361,0.0526,0,0.083,0.68,85.558,177327
3eDKAKSjpTFVESPkMlfNXa,You Better Know,WITCH,0,2017,5,rock,0.704,0.463,2,-6.846,1,0.0293,0.443,0.0156,0.125,0.514,127.616,210307
34v7cD6VR3fVYguedQ1wuh,Tropical Forest,The Sleep Specialist,0,2017,1,latin,0.311,0.377,3,-36.509,0,0.0366,0.129,0.979,0.247,0.0388,84.122,117449
0IkKz2J93C94Ei4BvDop7P,Party Rock Anthem,LMFAO,1,2011,1,pop,0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,262173
0P5lXk4fg0682IgDyK7GFM,I'm Blue - Club Mix,Kush Kush,1,2019,9,edm,0.735,0.915,0,-5.082,0,0.0475,0.0456,0.000152,0.238,0.615,124.007,150000
5ewa79Xg31HDefmPUpZX0Y,Video,India.Arie,0,2001,3,r&b,0.652,0.604,9,-8.766,0,0.227,0.111,1.01e-05,0.0409,0.675,170.003,249960
37AJxyHmL3ShqtPnkpbbDN,Birds,Migos,0,2014,6,rap,0.84,0.561,1,-8.259,1,0.205,0.0895,0,0.362,0.283,132,278608
